Time (rel/ms),Date,Time,Type,No.,Phase,Day,duration,System,Channel,F,Fm,PAR,Y(II),ETR
268280720,2022-03-23T23:00:00Z,1899-12-31T14:32:20Z,FO,113,stress,1,1,AMV,C10,371,475,0,0.219,0.0
268288140,2022-03-23T23:00:00Z,1899-12-31T14:32:28Z,FO,114,stress,1,1,AMV,C10,290,728,0,0.602,0.0
268296260,2022-03-23T23:00:00Z,1899-12-31T14:32:36Z,FO,115,stress,1,1,AMV,C10,358,681,0,0.474,0.0
268301060,2022-03-23T23:00:00Z,1899-12-31T14:32:41Z,FO,116,stress,1,1,,,132,132,0,0.000,0.0
268309680,2022-03-23T23:00:00Z,1899-12-31T14:32:49Z,FO,117,stress,1,1,AMV,C11,416,971,0,0.572,0.0
268316280,2022-03-23T23:00:00Z,1899-12-31T14:32:56Z,FO,118,stress,1,1,AMV,C11,439,929,0,0.527,0.0
268324260,2022-03-23T23:00:00Z,1899-12-31T14:33:04Z,FO,119,stress,1,1,AMV,C11,200,433,0,0.538,0.0
268331600,2022-03-23T23:00:00Z,1899-12-31T14:33:11Z,FO,120,stress,1,1,AMV,C11,261,527,0,0.505,0.0
268336060,2022-03-23T23:00:00Z,1899-12-31T14:33:16Z,FO,121,stress,1,1,,,24,24,0,-,-
268345760,2022-03-23T23:00:00Z,1899-12-31T14:33:25Z,FO,122,stress,1,1,AMV,C12,653,1309,0,0.501,0.0
268352360,2022-03-23T23:00:00Z,1899-12-31T14:33:32Z,FO,123,stress,1,1,AMV,C12,280,590,0,0.525,0.0
268358560,2022-03-23T23:00:00Z,1899-12-31T14:33:38Z,FO,124,stress,1,1,AMV,C12,151,201,0,0.249,0.0
268366060,2022-03-23T23:00:00Z,1899-12-31T14:33:46Z,FO,125,stress,1,1,AMV,C12,346,724,0,0.522,0.0
268371880,2022-03-23T23:00:00Z,1899-12-31T14:33:51Z,FO,126,stress,1,1,,,320,320,0,0.000,0.0
268378420,2022-03-23T23:00:00Z,1899-12-31T14:33:58Z,FO,127,stress,1,1,AMV,C13,612,884,0,0.308,0.0
268385320,2022-03-23T23:00:00Z,1899-12-31T14:34:05Z,FO,128,stress,1,1,AMV,C13,534,959,0,0.443,0.0
268391600,2022-03-23T23:00:00Z,1899-12-31T14:34:11Z,FO,129,stress,1,1,AMV,C13,444,855,0,0.481,0.0
268398880,2022-03-23T23:00:00Z,1899-12-31T14:34:18Z,FO,130,stress,1,1,AMV,C13,354,776,0,0.544,0.0
268403360,2022-03-23T23:00:00Z,1899-12-31T14:34:23Z,FO,131,stress,1,1,,,320,320,0,0.000,0.0
268411160,2022-03-23T23:00:00Z,1899-12-31T14:34:31Z,FO,132,stress,1,1,AMV,C14,465,782,0,0.405,0.0
268417140,2022-03-23T23:00:00Z,1899-12-31T14:34:37Z,FO,133,stress,1,1,AMV,C14,603,1259,0,0.521,0.0
268423820,2022-03-23T23:00:00Z,1899-12-31T14:34:43Z,FO,134,stress,1,1,AMV,C14,447,1194,0,0.626,0.0
268430000,2022-03-23T23:00:00Z,1899-12-31T14:34:50Z,FO,135,stress,1,1,AMV,C14,355,734,0,0.516,0.0
268436620,2022-03-23T23:00:00Z,1899-12-31T14:34:56Z,FO,136,stress,1,1,,,181,181,0,0.000,0.0
268443400,2022-03-23T23:00:00Z,1899-12-31T14:35:03Z,FO,137,stress,1,1,AMV,C15,267,492,0,0.457,0.0
268449700,2022-03-23T23:00:00Z,1899-12-31T14:35:09Z,FO,138,stress,1,1,AMV,C15,633,1346,0,0.530,0.0
