"","Time..rel.ms.","Date","Time","Type","No.","Phase","Day","duration","System","Channel","F","Fm","PAR","Y.II.","ETR"
"1",270452880,"2022-03-23T23:00:00Z","1899-12-31T15:08:32Z","FO",394,"stress",1,1,"IMP","C01",381,890,"0","0.572","0.0"
"2",270460100,"2022-03-23T23:00:00Z","1899-12-31T15:08:40Z","FO",395,"stress",1,1,"IMP","C01",432,937,"0","0.539","0.0"
"3",270464940,"2022-03-23T23:00:00Z","1899-12-31T15:08:44Z","FO",396,"stress",1,1,"IMP","C01",256,623,"0","0.589","0.0"
"4",270472820,"2022-03-23T23:00:00Z","1899-12-31T15:08:52Z","FO",397,"stress",1,1,"IMP","C01",331,1255,"0","0.736","0.0"
"5",270494220,"2022-03-23T23:00:00Z","1899-12-31T15:09:14Z","FO",399,"stress",1,1,"IMP","C02",334,955,"0","0.650","0.0"
"6",270499360,"2022-03-23T23:00:00Z","1899-12-31T15:09:19Z","FO",400,"stress",1,1,"IMP","C02",346,819,"0","0.578","0.0"
"7",270505560,"2022-03-23T23:00:00Z","1899-12-31T15:09:25Z","FO",401,"stress",1,1,"IMP","C02",166,363,"0","0.543","0.0"
"8",270512460,"2022-03-23T23:00:00Z","1899-12-31T15:09:32Z","FO",402,"stress",1,1,"IMP","C02",691,1145,"0","0.397","0.0"
"9",270528560,"2022-03-23T23:00:00Z","1899-12-31T15:09:48Z","FO",404,"stress",1,1,"IMP","C03",594,1220,"0","0.513","0.0"
"10",270533640,"2022-03-23T23:00:00Z","1899-12-31T15:09:53Z","FO",405,"stress",1,1,"IMP","C03",546,1154,"0","0.527","0.0"
"11",270538060,"2022-03-23T23:00:00Z","1899-12-31T15:09:58Z","FO",406,"stress",1,1,"IMP","C03",153,386,"0","0.604","0.0"
"12",270546560,"2022-03-23T23:00:00Z","1899-12-31T15:10:06Z","FO",407,"stress",1,1,"IMP","C03",844,879,"0","0.040","0.0"
"13",270582580,"2022-03-23T23:00:00Z","1899-12-31T15:10:42Z","FO",409,"stress",1,1,"IMP","C04",679,1379,"0","0.508","0.0"
"14",270588460,"2022-03-23T23:00:00Z","1899-12-31T15:10:48Z","FO",410,"stress",1,1,"IMP","C04",431,1125,"0","0.617","0.0"
"15",270593880,"2022-03-23T23:00:00Z","1899-12-31T15:10:53Z","FO",411,"stress",1,1,"IMP","C04",182,533,"0","0.659","0.0"
"16",270602460,"2022-03-23T23:00:00Z","1899-12-31T15:11:02Z","FO",412,"stress",1,1,"IMP","C04",313,742,"0","0.578","0.0"
"17",270623380,"2022-03-23T23:00:00Z","1899-12-31T15:11:23Z","FO",414,"stress",1,1,"IMP","C05",436,932,"0","0.532","0.0"
"18",270628900,"2022-03-23T23:00:00Z","1899-12-31T15:11:28Z","FO",415,"stress",1,1,"IMP","C05",303,1162,"0","0.739","0.0"
"19",270636140,"2022-03-23T23:00:00Z","1899-12-31T15:11:36Z","FO",416,"stress",1,1,"IMP","C05",307,522,"0","0.412","0.0"
"20",270646360,"2022-03-23T23:00:00Z","1899-12-31T15:11:46Z","FO",417,"stress",1,1,"IMP","C05",157,411,"0","0.618","0.0"
"21",270665440,"2022-03-23T23:00:00Z","1899-12-31T15:12:05Z","FO",419,"stress",1,1,"IMP","C06",612,1303,"0","0.530","0.0"
"22",270672360,"2022-03-23T23:00:00Z","1899-12-31T15:12:12Z","FO",420,"stress",1,1,"IMP","C06",640,1144,"0","0.441","0.0"
"23",270679660,"2022-03-23T23:00:00Z","1899-12-31T15:12:19Z","FO",421,"stress",1,1,"IMP","C06",135,331,"0","0.592","0.0"
"24",270687880,"2022-03-23T23:00:00Z","1899-12-31T15:12:27Z","FO",422,"stress",1,1,"IMP","C06",276,631,"0","0.563","0.0"
"25",270702260,"2022-03-23T23:00:00Z","1899-12-31T15:12:42Z","FO",424,"stress",1,1,"IMP","C07",586,1452,"0","0.596","0.0"
"26",270707740,"2022-03-23T23:00:00Z","1899-12-31T15:12:47Z","FO",425,"stress",1,1,"IMP","C07",351,640,"0","0.452","0.0"
"27",270712880,"2022-03-23T23:00:00Z","1899-12-31T15:12:52Z","FO",426,"stress",1,1,"IMP","C07",136,258,"0","0.473","0.0"
"28",270719860,"2022-03-23T23:00:00Z","1899-12-31T15:12:59Z","FO",427,"stress",1,1,"IMP","C07",621,980,"0","0.366","0.0"
"29",270741800,"2022-03-23T23:00:00Z","1899-12-31T15:13:21Z","FO",429,"stress",1,1,"IMP","C08",532,1190,"0","0.553","0.0"
"30",270747920,"2022-03-23T23:00:00Z","1899-12-31T15:13:27Z","FO",430,"stress",1,1,"IMP","C08",424,1129,"0","0.624","0.0"
"31",270757060,"2022-03-23T23:00:00Z","1899-12-31T15:13:37Z","FO",431,"stress",1,1,"IMP","C08",190,668,"0","0.716","0.0"
"32",270763660,"2022-03-23T23:00:00Z","1899-12-31T15:13:43Z","FO",432,"stress",1,1,"IMP","C08",705,987,"0","0.286","0.0"
"33",270820880,"2022-03-23T23:00:00Z","1899-12-31T15:14:40Z","FO",434,"stress",1,1,"IMP","C09",554,992,"0","0.442","0.0"
"34",270826440,"2022-03-23T23:00:00Z","1899-12-31T15:14:46Z","FO",435,"stress",1,1,"IMP","C09",470,1008,"0","0.534","0.0"
"35",270833140,"2022-03-23T23:00:00Z","1899-12-31T15:14:53Z","FO",436,"stress",1,1,"IMP","C09",622,1255,"0","0.504","0.0"
"36",270839920,"2022-03-23T23:00:00Z","1899-12-31T15:14:59Z","FO",437,"stress",1,1,"IMP","C09",318,436,"0","0.271","0.0"
"37",270854040,"2022-03-23T23:00:00Z","1899-12-31T15:15:14Z","FO",439,"stress",1,1,"IMP","C10",642,1614,"0","0.602","0.0"
"38",270862560,"2022-03-23T23:00:00Z","1899-12-31T15:15:22Z","FO",440,"stress",1,1,"IMP","C10",593,1169,"0","0.493","0.0"
"39",270869260,"2022-03-23T23:00:00Z","1899-12-31T15:15:29Z","FO",441,"stress",1,1,"IMP","C10",560,913,"0","0.387","0.0"
"40",270876800,"2022-03-23T23:00:00Z","1899-12-31T15:15:36Z","FO",442,"stress",1,1,"IMP","C10",367,1092,"0","0.664","0.0"
"41",270889800,"2022-03-23T23:00:00Z","1899-12-31T15:15:49Z","FO",444,"stress",1,1,"IMP","C11",799,1798,"0","0.556","0.0"
"42",270896720,"2022-03-23T23:00:00Z","1899-12-31T15:15:56Z","FO",445,"stress",1,1,"IMP","C11",296,855,"0","0.654","0.0"
"43",270902320,"2022-03-23T23:00:00Z","1899-12-31T15:16:02Z","FO",446,"stress",1,1,"IMP","C11",186,509,"0","0.635","0.0"
"44",270909740,"2022-03-23T23:00:00Z","1899-12-31T15:16:09Z","FO",447,"stress",1,1,"IMP","C11",254,504,"0","0.496","0.0"
"45",270919080,"2022-03-23T23:00:00Z","1899-12-31T15:16:19Z","FO",449,"stress",1,1,"IMP","C12",215,478,"0","0.550","0.0"
"46",270932680,"2022-03-23T23:00:00Z","1899-12-31T15:16:32Z","FO",450,"stress",1,1,"IMP","C12",317,861,"0","0.632","0.0"
"47",270940700,"2022-03-23T23:00:00Z","1899-12-31T15:16:40Z","FO",451,"stress",1,1,"IMP","C12",130,324,"0","0.599","0.0"
"48",270949320,"2022-03-23T23:00:00Z","1899-12-31T15:16:49Z","FO",452,"stress",1,1,"IMP","C12",170,424,"0","0.599","0.0"
"49",270962140,"2022-03-23T23:00:00Z","1899-12-31T15:17:02Z","FO",454,"stress",1,1,"IMP","C13",524,1048,"0","0.500","0.0"
"50",270969180,"2022-03-23T23:00:00Z","1899-12-31T15:17:09Z","FO",455,"stress",1,1,"IMP","C13",557,1063,"0","0.476","0.0"
"51",270979320,"2022-03-23T23:00:00Z","1899-12-31T15:17:19Z","FO",456,"stress",1,1,"IMP","C13",214,278,"0","0.230","0.0"
"52",270986440,"2022-03-23T23:00:00Z","1899-12-31T15:17:26Z","FO",457,"stress",1,1,"IMP","C13",358,733,"0","0.512","0.0"
"53",271004640,"2022-03-23T23:00:00Z","1899-12-31T15:17:44Z","FO",459,"stress",1,1,"IMP","C14",373,1103,"0","0.662","0.0"
"54",271011440,"2022-03-23T23:00:00Z","1899-12-31T15:17:51Z","FO",460,"stress",1,1,"IMP","C14",460,999,"0","0.540","0.0"
"55",271017840,"2022-03-23T23:00:00Z","1899-12-31T15:17:57Z","FO",461,"stress",1,1,"IMP","C14",395,1042,"0","0.621","0.0"
"56",271024700,"2022-03-23T23:00:00Z","1899-12-31T15:18:04Z","FO",462,"stress",1,1,"IMP","C14",183,434,"0","0.578","0.0"
"57",271040280,"2022-03-23T23:00:00Z","1899-12-31T15:18:20Z","FO",464,"stress",1,1,"IMP","C15",300,655,"0","0.542","0.0"
"58",271046220,"2022-03-23T23:00:00Z","1899-12-31T15:18:26Z","FO",465,"stress",1,1,"IMP","C15",393,669,"0","0.413","0.0"
"59",271050160,"2022-03-23T23:00:00Z","1899-12-31T15:18:30Z","FO",466,"stress",1,1,"IMP","C15",265,520,"0","0.490","0.0"
"60",271057720,"2022-03-23T23:00:00Z","1899-12-31T15:18:37Z","FO",467,"stress",1,1,"IMP","C15",247,543,"0","0.545","0.0"
"61",271069540,"2022-03-23T23:00:00Z","1899-12-31T15:18:49Z","FO",469,"stress",1,1,"IMP","C16",329,886,"0","0.629","0.0"
"62",271074680,"2022-03-23T23:00:00Z","1899-12-31T15:18:54Z","FO",470,"stress",1,1,"IMP","C16",351,968,"0","0.637","0.0"
"63",271081340,"2022-03-23T23:00:00Z","1899-12-31T15:19:01Z","FO",471,"stress",1,1,"IMP","C16",306,726,"0","0.579","0.0"
"64",271095060,"2022-03-23T23:00:00Z","1899-12-31T15:19:15Z","FO",472,"stress",1,1,"IMP","C16",139,432,"0","0.678","0.0"
"65",271113220,"2022-03-23T23:00:00Z","1899-12-31T15:19:33Z","FO",476,"stress",1,1,"IMP","C17",433,1042,"0","0.584","0.0"
"66",271119000,"2022-03-23T23:00:00Z","1899-12-31T15:19:39Z","FO",477,"stress",1,1,"IMP","C17",171,372,"0","0.540","0.0"
"67",271126940,"2022-03-23T23:00:00Z","1899-12-31T15:19:46Z","FO",478,"stress",1,1,"IMP","C17",218,870,"0","0.749","0.0"
"68",271134920,"2022-03-23T23:00:00Z","1899-12-31T15:19:54Z","FO",479,"stress",1,1,"IMP","C17",703,1158,"0","0.393","0.0"
"69",271150580,"2022-03-23T23:00:00Z","1899-12-31T15:20:10Z","FO",481,"stress",1,1,"IMP","C18",560,1650,"0","0.661","0.0"
"70",271156420,"2022-03-23T23:00:00Z","1899-12-31T15:20:16Z","FO",482,"stress",1,1,"IMP","C18",511,1234,"0","0.586","0.0"
"71",271163120,"2022-03-23T23:00:00Z","1899-12-31T15:20:23Z","FO",483,"stress",1,1,"IMP","C18",299,875,"0","0.658","0.0"
"72",271170720,"2022-03-23T23:00:00Z","1899-12-31T15:20:30Z","FO",484,"stress",1,1,"IMP","C18",291,745,"0","0.609","0.0"
"73",271185180,"2022-03-23T23:00:00Z","1899-12-31T15:20:45Z","FO",486,"stress",1,1,"IMP","C19",783,2096,"0","0.626","0.0"
"74",271191640,"2022-03-23T23:00:00Z","1899-12-31T15:20:51Z","FO",487,"stress",1,1,"IMP","C19",327,605,"0","0.460","0.0"
"75",271198060,"2022-03-23T23:00:00Z","1899-12-31T15:20:58Z","FO",488,"stress",1,1,"IMP","C19",153,523,"0","0.707","0.0"
"76",271206920,"2022-03-23T23:00:00Z","1899-12-31T15:21:06Z","FO",489,"stress",1,1,"IMP","C19",255,783,"0","0.674","0.0"
"77",271223620,"2022-03-23T23:00:00Z","1899-12-31T15:21:23Z","FO",491,"stress",1,1,"IMP","C20",693,1679,"0","0.587","0.0"
"78",271246800,"2022-03-23T23:00:00Z","1899-12-31T15:21:46Z","FO",492,"stress",1,1,"IMP","C20",169,477,"0","0.646","0.0"
"79",271258700,"2022-03-23T23:00:00Z","1899-12-31T15:21:58Z","FO",493,"stress",1,1,"IMP","C20",447,1198,"0","0.627","0.0"
"80",271265840,"2022-03-23T23:00:00Z","1899-12-31T15:22:05Z","FO",494,"stress",1,1,"IMP","C20",184,778,"0","0.763","0.0"
"81",271279820,"2022-03-23T23:00:00Z","1899-12-31T15:22:19Z","FO",496,"stress",1,1,"IMP","C21",518,1231,"0","0.579","0.0"
"82",271285660,"2022-03-23T23:00:00Z","1899-12-31T15:22:25Z","FO",497,"stress",1,1,"IMP","C21",429,1149,"0","0.627","0.0"
"83",271295160,"2022-03-23T23:00:00Z","1899-12-31T15:22:35Z","FO",498,"stress",1,1,"IMP","C21",244,828,"0","0.705","0.0"
"84",271301780,"2022-03-23T23:00:00Z","1899-12-31T15:22:41Z","FO",499,"stress",1,1,"IMP","C21",450,661,"0","0.319","0.0"
"85",271315240,"2022-03-23T23:00:00Z","1899-12-31T15:22:55Z","FO",502,"stress",1,1,"IMP","C22",802,1807,"0","0.556","0.0"
"86",271321120,"2022-03-23T23:00:00Z","1899-12-31T15:23:01Z","FO",503,"stress",1,1,"IMP","C22",359,994,"0","0.639","0.0"
"87",271334980,"2022-03-23T23:00:00Z","1899-12-31T15:23:14Z","FO",504,"stress",1,1,"IMP","C22",511,1196,"0","0.573","0.0"
"88",271343340,"2022-03-23T23:00:00Z","1899-12-31T15:23:23Z","FO",505,"stress",1,1,"IMP","C22",502,951,"0","0.472","0.0"
"89",271357920,"2022-03-23T23:00:00Z","1899-12-31T15:23:37Z","FO",507,"stress",1,1,"IMP","C23",1014,2216,"0","0.542","0.0"
